pasta;arquivo_original;arquivo_novo;tema;tipo;descricao;pagina_publica_sugerida;duplicata_de
CLARO\1. DASHBOARD;1 DOBRA.png;dashboard--visao-geral--primeira-dobra-clinica-financeiro--claro--pagina--001.png;claro;pagina;Primeira dobra com saudacao agenda indicadores clinicos e financeiros;/produto;
CLARO\1. DASHBOARD;Screenshot 2026-07-16 215607.png;dashboard--visao-geral--fluxo-financeiro-e-pendencias--claro--pagina--002.png;claro;pagina;Continuidade do dashboard com fluxo financeiro pendencias e atividade;/produto;
CLARO\1. DASHBOARD;Screenshot 2026-07-16 215714.png;dashboard--atalho-agendar--etapa-01-atendimento--claro--modal--003.png;claro;modal;Atalho de agendamento na primeira etapa de dados do atendimento;/agenda-para-psicologos;
CLARO\1. DASHBOARD;Screenshot 2026-07-16 215727.png;dashboard--atalho-paciente--novo-prontuario-cadastro-rapido--claro--modal--004.png;claro;modal;Cadastro rapido de paciente e abertura de prontuario pelo dashboard;/pacientes-para-psicologos;
CLARO\1. DASHBOARD;Screenshot 2026-07-16 215816.png;dashboard--synapse--historico-de-conversas-aberto--claro--drawer--005.png;claro;drawer;Synapse aberto com lista de conversas anteriores;/synapse-ai;
CLARO\1. DASHBOARD;Screenshot 2026-07-16 220042.png;dashboard--synapse--chat-rascunho-atestado--claro--drawer--006.png;claro;drawer;Chat Synapse criando um rascunho de atestado dentro do dashboard;/synapse-ai;
CLARO\1. DASHBOARD;Screenshot 2026-07-26 210832.png;dashboard--mensagem-institucional--carrossel-para-quem-cuida--claro--painel--007.png;claro;painel;Cartao institucional do carrossel com mensagem para quem cuida;/;
CLARO\1. DASHBOARD;Screenshot 2026-07-26 210844.png;dashboard--mensagem-institucional--carrossel-reflexao-do-dia--claro--painel--008.png;claro;painel;Cartao institucional do carrossel com reflexao do dia;/;
CLARO\1. DASHBOARD;Screenshot 2026-07-26 211507.png;dashboard--notificacoes--lista-com-acoes-do-item--claro--popover--009.png;claro;popover;Central de notificacoes com menu de acoes de um item;/produto;
CLARO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 012512.png;ajustes--neurofinance--seguranca-pin-e-saude-da-conta--claro--pagina--001.png;claro;pagina;Ajustes de seguranca financeira PIN e saude da conta;/seguranca-e-etica;
CLARO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 012534.png;ajustes--comunicacao--modelo-lembrete-whatsapp--claro--pagina--002.png;claro;pagina;Editor do modelo de lembrete enviado por WhatsApp;/produto;
CLARO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 012558.png;ajustes--login-e-seguranca--2fa-biometria-e-email--claro--pagina--003.png;claro;pagina;Opcoes de autenticacao em dois fatores biometria e email;/seguranca-e-etica;
CLARO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 012658.png;ajustes--integracoes--google-workspace-e-notion-ativos--claro--pagina--004.png;claro;pagina;Integracoes ativas com Google Workspace e Notion;/produto;
CLARO\10. AJUSTES - SEGURANÇA;Screenshot 2026-07-17 012820.png;ajustes--meu-perfil--tooltip-selo-founder--claro--estado--005.png;claro;estado;Perfil profissional exibindo explicacao do selo Founder;/produto;
CLARO\11. ABA DE BUSCA GLOBAL;Screenshot 2026-07-17 012146.png;busca-global--inicio--sugestoes-de-atividade--claro--modal--001.png;claro;modal;Busca global vazia com sugestoes de atividades recentes;/produto;
CLARO\11. ABA DE BUSCA GLOBAL;Screenshot 2026-07-17 012222.png;busca-global--resultados--paciente-e-agendamentos--claro--modal--002.png;claro;modal;Resultados globais agrupados por paciente e agendamentos;/produto;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155306.png;portal-paciente--inicio--saudacao-e-proximo-agendamento--escuro--pagina--001.png;escuro;pagina;Topo inicial do portal com saudacao e proximo agendamento vazio;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155323.png;portal-paciente--inicio--atalhos-e-carrossel-boas-vindas--escuro--pagina--002.png;escuro;pagina;Inicio do portal com atalhos indicadores e carrossel de boas-vindas;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155331.png;portal-paciente--inicio--atalhos-e-carrossel-frase-do-dia--escuro--pagina--003.png;escuro;pagina;Inicio do portal com indicadores e cartao de frase do dia;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-17 155340.png;portal-paciente--sessoes--agendamentos-sem-sessao-futura--escuro--pagina--004.png;escuro;pagina;Aba de sessoes sem proximo agendamento confirmado;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 215939.png;portal-paciente--sessoes--historico-de-sessoes-realizadas--escuro--pagina--005.png;escuro;pagina;Historico cronologico de sessoes online realizadas;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 215954.png;portal-paciente--humor--grafico-de-tendencia-e-registro--escuro--pagina--006.png;escuro;pagina;Grafico de tendencia emocional e seletor do humor atual;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220010.png;portal-paciente--humor--formulario-e-registros-recentes--escuro--pagina--007.png;escuro;pagina;Formulario para registrar humor e lista de registros recentes;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220036.png;portal-paciente--neurodrive--anamnese-expirada-leitura--escuro--pagina--008.png;escuro;pagina;Anamnese expirada apresentada ao paciente em modo de leitura;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220118.png;portal-paciente--neurodrive--notas-pessoais-editor--escuro--pagina--009.png;escuro;pagina;Lista e editor de notas pessoais privadas do paciente;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220146.png;portal-paciente--progresso--missoes-concluidas--escuro--pagina--010.png;escuro;pagina;Painel de progresso com indicadores e missoes concluidas;/portal-do-paciente;
CLARO\12. PORTAL PACIENTES - MODO CLARO E MODO ESCURO;Screenshot 2026-07-26 220158.png;portal-paciente--neurofinance--pacote-ativo-e-sessoes--escuro--pagina--011.png;escuro;pagina;Pacote ativo com sessoes usadas restantes e investimento;/portal-do-paciente;
CLARO\2. AGENDA;Screenshot 2026-07-16 220501.png;agenda--documentacao--disponibilidade-de-documentos--claro--popover--001.png;claro;popover;Menu de disponibilidade dos documentos ligados ao atendimento;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-16 220618.png;agenda--historico--linha-do-tempo-do-agendamento--claro--modal--002.png;claro;modal;Linha do tempo completa de alteracoes de um agendamento;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-16 221148.png;agenda--calendario-mensal--dia-e-evento-selecionados--claro--popover--003.png;claro;popover;Calendario mensal com detalhes do dia e do evento selecionado;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 211831.png;agenda--lista-de-espera--adicionar-paciente--claro--modal--004.png;claro;modal;Inclusao de paciente na lista de espera da agenda;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 211937.png;agenda--lista-de-espera--horario-sugerido--claro--modal--005.png;claro;modal;Lista de espera com horario sugerido para o paciente;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 211953.png;agenda--lista-de-espera--oferta-aguardando-resposta--claro--modal--006.png;claro;modal;Oferta de horario enviada e aguardando resposta do paciente;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 212055.png;agenda--calendario-semanal--visao-completa--claro--pagina--007.png;claro;pagina;Visao semanal completa da agenda com os compromissos;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 212413.png;agenda--novo-agendamento--etapa-01-selecionar-paciente--claro--modal--008.png;claro;modal;Primeira etapa do novo agendamento com seletor de paciente;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 212503.png;agenda--novo-agendamento--recorrencia-mensal--claro--modal--009.png;claro;modal;Configuracao de recorrencia mensal para uma nova sessao;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 212526.png;agenda--novo-agendamento--recorrencia-personalizada--claro--modal--010.png;claro;modal;Configuracao de recorrencia com periodicidade personalizada;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 212613.png;agenda--novo-agendamento--etapa-02-tipo-de-sessao--claro--modal--011.png;claro;modal;Segunda etapa com selecao do tipo de sessao;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213039.png;agenda--novo-agendamento--etapa-04-pacote-e-remarcacao--claro--modal--012.png;claro;modal;Resumo final com validade de pacote e regras de remarcacao;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213117.png;agenda--novo-agendamento--etapa-04-datas-recorrentes-validas--claro--modal--013.png;claro;modal;Resumo final mostrando as datas validas da serie recorrente;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213206.png;agenda--novo-agendamento--etapa-04-recorrencia-e-modelo--claro--modal--014.png;claro;modal;Resumo da recorrencia com opcao de salvar como modelo;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213300.png;agenda--novo-agendamento--etapa-03-cobranca-neurofinance--claro--modal--015.png;claro;modal;Terceira etapa configurando a cobranca pelo NeuroFinance;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213309.png;agenda--novo-agendamento--etapa-04-resumo-online-e-cobranca--claro--modal--016.png;claro;modal;Resumo final de sessao online com detalhes de cobranca;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213639.png;agenda--novo-agendamento--etapa-04-resumo-presencial-e-cobranca--claro--modal--017.png;claro;modal;Resumo final de sessao presencial com detalhes de cobranca;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 213746.png;agenda--novo-agendamento--serie-criada-com-sucesso--claro--modal--018.png;claro;modal;Confirmacao de criacao bem-sucedida de uma serie de sessoes;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214006.png;agenda--historico--criacao-e-cobranca-pix--claro--modal--019.png;claro;modal;Historico registrando criacao do agendamento e cobranca Pix;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214148.png;agenda--sessao--editar-e-remarcar--claro--modal--020.png;claro;modal;Ficha de sessao com opcoes para editar ou remarcar;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214158.png;agenda--sessao--cobranca-em-atraso--claro--modal--021.png;claro;modal;Ficha de sessao destacando uma cobranca em atraso;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214550.png;agenda--novo-compromisso--selecionar-categoria--claro--modal--022.png;claro;modal;Novo compromisso com seletor de categoria aberto;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214849.png;agenda--disponibilidade--grade-semanal--claro--pagina--023.png;claro;pagina;Grade semanal para configurar horarios de disponibilidade;/agenda-para-psicologos;
